OMEGA,A33,A55,B33,B55
0.100000,4.551194,4.140761,0.217684,0.177027
0.120000,3.700107,3.366026,0.256052,0.208762
0.140000,3.106796,2.825811,0.292282,0.238968
0.160000,2.671195,2.429051,0.326277,0.267571
0.180000,2.338846,2.126197,0.357966,0.294511
0.200000,2.077657,1.888044,0.387306,0.319750
0.220000,1.867525,1.696300,0.414270,0.343260
0.240000,1.695238,1.538942,0.438856,0.365029
0.260000,1.551763,1.407751,0.461073,0.385054
0.280000,1.430725,1.296927,0.480950,0.403346
0.300000,1.327498,1.202260,0.498526,0.419922
0.320000,1.238648,1.120624,0.513853,0.434809
0.340000,1.161573,1.049651,0.526991,0.448039
0.360000,1.094266,0.987517,0.538011,0.459654
0.380000,1.035156,0.932790,0.546991,0.469697
0.400000,0.982996,0.884337,0.554012,0.478221
0.420000,0.936783,0.841246,0.559165,0.485278
0.440000,0.895704,0.802775,0.562540,0.490927
0.460000,0.859089,0.768315,0.564234,0.495227
0.480000,0.826386,0.737365,0.564343,0.498241
0.500000,0.797133,0.709503,0.562966,0.500032
0.520000,0.770940,0.684375,0.560201,0.500666
0.540000,0.747479,0.661681,0.556147,0.500209
0.560000,0.726468,0.641168,0.550903,0.498726
0.580000,0.707668,0.622614,0.544565,0.496283
0.600000,0.690869,0.605831,0.537228,0.492944
0.620000,0.675893,0.590656,0.528985,0.488776
0.640000,0.662582,0.576945,0.519925,0.483840
0.660000,0.650798,0.564574,0.510136,0.478199
0.680000,0.640423,0.553433,0.499701,0.471913
0.700000,0.631349,0.543426,0.488703,0.465041
0.720000,0.623483,0.534467,0.477217,0.457640
0.740000,0.616740,0.526479,0.465317,0.449765
0.760000,0.611047,0.519396,0.453073,0.441469
0.780000,0.606336,0.513156,0.440551,0.432801
0.800000,0.602547,0.507705,0.427812,0.423811
0.820000,0.599629,0.502994,0.414915,0.414544
0.840000,0.597530,0.498979,0.401914,0.405044
0.860000,0.596209,0.495621,0.388858,0.395353
0.880000,0.595625,0.492882,0.375796,0.385509
0.900000,0.595743,0.490732,0.362769,0.375548
0.920000,0.596528,0.489138,0.349817,0.365506
0.940000,0.597953,0.488075,0.336976,0.355415
0.960000,0.599989,0.487517,0.324278,0.345303
0.980000,0.602610,0.487442,0.311752,0.335199
1.000000,0.605795,0.487829,0.299425,0.325128
1.020000,0.609522,0.488658,0.287320,0.315114
1.040000,0.613772,0.489913,0.275457,0.305178
1.060000,0.618527,0.491576,0.263854,0.295340
1.080000,0.623770,0.493632,0.252526,0.285617
1.100000,0.629486,0.496069,0.241485,0.276026
1.120000,0.635661,0.498871,0.230743,0.266580
1.140000,0.642280,0.502029,0.220308,0.257293
1.159999,0.649334,0.505531,0.210187,0.248176
1.179999,0.656811,0.509365,0.200384,0.239238
1.199999,0.664697,0.513524,0.190902,0.230488
1.219999,0.672987,0.517997,0.181744,0.221934
1.239999,0.681669,0.522777,0.172910,0.213580
1.259999,0.690734,0.527855,0.164398,0.205433
1.279999,0.700176,0.533225,0.156207,0.197495
1.299999,0.709985,0.538879,0.148333,0.189771
1.319999,0.720157,0.544811,0.140773,0.182261
1.339999,0.730683,0.551016,0.133522,0.174967
1.359999,0.741557,0.557486,0.126574,0.167890
1.379999,0.752774,0.564218,0.119924,0.161029
1.399999,0.764328,0.571205,0.113564,0.154383
1.419999,0.776214,0.578444,0.107487,0.147952
1.439999,0.788427,0.585930,0.101686,0.141733
1.459999,0.800963,0.593659,0.096154,0.135724
1.479999,0.813816,0.601626,0.090882,0.129921
1.499999,0.826984,0.609828,0.085862,0.124323
1.519999,0.840462,0.618262,0.081085,0.118924
1.539999,0.854245,0.626924,0.076544,0.113723
1.559999,0.868333,0.635811,0.072229,0.108714
1.579999,0.882720,0.644920,0.068133,0.103893
1.599999,0.897403,0.654247,0.064246,0.099257
1.619999,0.912380,0.663792,0.060561,0.094800
1.639999,0.927649,0.673550,0.057070,0.090518
1.659999,0.943204,0.683519,0.053763,0.086406
1.679999,0.959045,0.693698,0.050634,0.082460
1.699999,0.975170,0.704083,0.047674,0.078674
1.719999,0.991575,0.714674,0.044876,0.075044
1.739999,1.008259,0.725467,0.042231,0.071565
1.759999,1.025220,0.736461,0.039734,0.068232
1.779999,1.042455,0.747654,0.037377,0.065041
1.799999,1.059962,0.759044,0.035153,0.061986
1.819999,1.077740,0.770630,0.033055,0.059063
1.839999,1.095788,0.782410,0.031078,0.056267
1.859999,1.114103,0.794383,0.029214,0.053594
1.879999,1.132684,0.806547,0.027459,0.051039
1.899999,1.151528,0.818901,0.025806,0.048598
1.919999,1.170636,0.831442,0.024250,0.046266
1.939999,1.190005,0.844172,0.022786,0.044039
1.959999,1.209635,0.857087,0.021409,0.041914
1.979999,1.229523,0.870187,0.020113,0.039886
1.999999,1.249668,0.883471,0.018896,0.037950
2.019999,1.270070,0.896937,0.017751,0.036105
2.039999,1.290728,0.910585,0.016675,0.034345
2.059999,1.311641,0.924414,0.015665,0.032667
2.079999,1.332804,0.938422,0.014715,0.031068
2.099999,1.354223,0.952609,0.013824,0.029545
