X/L,R/L
0.0,0.015
0.025,0.017
0.05,0.022
0.075,0.03
0.1,0.04
0.125,0.051
0.15,0.063
0.175,0.073
0.2,0.083
0.225,0.09
0.25,0.096
0.275,0.099
0.3,0.1
0.325,0.1
0.35,0.1
0.375,0.1
0.4,0.1
0.425,0.1
0.45,0.1
0.475,0.1
0.5,0.1
0.525,0.1
0.55,0.1
0.575,0.1
0.6,0.1
0.625,0.1
0.65,0.1
0.675,0.1
0.7,0.1
0.725,0.1
0.75,0.1
0.775,0.1
0.8,0.1
0.825,0.099
0.85,0.097
0.875,0.092
0.9,0.085
0.925,0.075
0.95,0.06
0.975,0.037
1.0,-0.0
