X/L,R/L
0.0,0.005
0.05,0.011
0.1,0.024
0.15,0.04
0.2,0.053
0.25,0.063
0.3,0.07
0.35,0.074
0.4,0.075
0.45,0.075
0.5,0.075
0.55,0.075
0.6,0.075
0.65,0.074
0.7,0.073
0.75,0.069
0.8,0.064
0.85,0.056
0.9,0.045
0.95,0.028
1.0,-0.0
